relationship_id,entity_id_a,entity_id_b,relationship_type,role_a,role_b
rel-0000713,NK-HkGpeehSFsNLXBJ9tywZCf,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000714,NK-VDEKGF5ZgHAkye4kGuUXs3,NK-GPkkbhp3NM4ekkATMA9cSH,Ownership,owner,asset
rel-0000715,NK-MzDaidPRs3ccghN6HYQxrM,NK-RPjy8cqbJfj9kRoHhr25Lb,Ownership,owner,asset
rel-0000716,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-8h2Wez3A7gdvV4fdp8ngNV,Ownership,owner,asset
rel-0000717,NK-X4FaNTxfDZCw2YvPmLLMy2,Q7747,UnknownLink,subject,object
rel-0000718,NK-nkRFMxggFSZsnCCRS566YN,Q96375926,UnknownLink,subject,object
rel-0000719,NK-kxLhFDoe7Ye6BQKBe4325Y,NK-4i3LB9b72B4RwFNTceUpJt,Ownership,owner,asset
rel-0000720,Q5213558,NK-aBSNnLFCyHPcsyrqmoY4VK,Ownership,owner,asset
rel-0000721,NK-BWACaJuQVx2hmodTeUWnPo,Q132760324,UnknownLink,subject,object
rel-0000722,NK-ns7oiKUhZQopVSRFGVP4ua,NK-ipVrFZf7o3drYzB3jPB6tu,UnknownLink,subject,object
rel-0000723,NK-GXjKaQTAjDjjGAQndtMyJX,NK-F86ZKL7omePSwJEDQ7EDvw,Ownership,owner,asset
rel-0000724,NK-heJkm7gmPsYSrMAwv5raej,NK-EGAcxjzMCYQfhrb8awZdS4,Ownership,owner,asset
rel-0000725,NK-SV95ipkZgCiqjoerehGX8a,NK-Sz2HkJg6izB5hQdjVin6hg,Ownership,owner,asset
rel-0000726,NK-mkr4ZkUYtzyWmR96HquTpX,NK-UzgCgh8E3Le9Uk5pfqL7He,Ownership,owner,asset
rel-0000727,NK-XoxxBNEFgsJZdkWaJjC6bi,NK-KRo6dwTgK9hJMHZy9nLP4e,Ownership,owner,asset
rel-0000728,NK-WioQaZXBe5HzgTfwhniJgQ,NK-TJbNDrieo2zBxgf4VTXh2R,Ownership,owner,asset
rel-0000729,NK-Zc6o4Z5D94X6P9SZ5Ewb7H,NK-ibRngCDk4ERw8QAiHjipgc,Ownership,owner,asset
rel-0000730,Q134723563,NK-9rRy6HvuEnNiGdmNF2wGjB,Ownership,owner,asset
rel-0000731,NK-4S5Fpy8Hpri7cYb7bsDYd5,NK-dEqWCxXHxuQ4tbWFS9UWLv,UnknownLink,subject,object
rel-0000732,NK-UaznisgawBWomc8JgFFRcy,NK-5zWfLjEFtEuZyhYXJPumE2,Ownership,owner,asset
rel-0000733,NK-G53Pp4RGC5utRxsBh2Cfpe,NK-iCnXtDNPmSerHWoNVXttsb,UnknownLink,subject,object
rel-0000734,Q503147,NK-QYZSqDvKoocfrXS9Qt8TVF,Ownership,owner,asset
rel-0000735,NK-iYZxkFaPtTB2zoedzqF3Kg,NK-esY7fRZz5VPXwaZ5p7j7XM,UnknownLink,subject,object
rel-0000736,NK-gKdPpNFx6puRRauR2iEQDt,NK-ZwSuxwARq3m48MGTAMrdoH,Ownership,owner,asset
rel-0000737,NK-Rmext3sD3UbkQpy46Wnr5q,NK-CNXnSYRCnFaysdEMNWtaN2,Ownership,owner,asset
rel-0000738,NK-DegdwNLTGdsMZo7YGPgpF9,NK-eeV9BbnFCyjZxyEeVPeebX,Directorship,director,organization
rel-0000739,Q36192491,NK-dEqWCxXHxuQ4tbWFS9UWLv,Directorship,director,organization
rel-0000740,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43150,Ownership,owner,asset
rel-0000741,NK-ivJZPmgX4dVuV3KJmWuEQA,NK-jcmkhF6K5ermMMotyGDboL,UnknownLink,subject,object
rel-0000742,NK-9NPizhZHLXDZbkxshMVg9Y,NK-JkQTtmshgPudepubyDPSza,Ownership,owner,asset
rel-0000743,NK-UaznisgawBWomc8JgFFRcy,NK-JDKNgF3arai4Xz7K3R3vCu,Ownership,owner,asset
rel-0000744,NK-iwSQXRySXuqrNVz6DHHhJH,NK-TvZBUddhDMe9p4yozUpShp,Ownership,owner,asset
rel-0000745,NK-huhVBvmUWSM7RvknR77wML,NK-Yfxk62ToF9Khg2QrJDF3kg,UnknownLink,subject,object
rel-0000746,NK-EcaaK9ozjVbprjeatFmkSv,NK-Yfxk62ToF9Khg2QrJDF3kg,UnknownLink,subject,object
rel-0000747,NK-4aeQViLRgpZctfsWyZvcj5,NK-HAC98UEzV855zAX9LsVNdw,Ownership,owner,asset
rel-0000748,Q55107083,NK-doCQWnN7Z2b4R8GZxDjuhS,Ownership,owner,asset
rel-0000749,NK-e7pRpvcFH7H9iDMZfrmYum,NK-dfdGPysic8aYRFT73vEPhQ,Ownership,owner,asset
rel-0000750,NK-8pZKs6UTLzaQfrk3yWQ7YU,NK-bJL6Wwoqpc8TCGpCbAerDC,Ownership,owner,asset
rel-0000751,NK-P7DotjxhpxznfyL3DUTEUA,ofac-43153,Ownership,owner,asset
rel-0000752,NK-hgHY5xSHHKeca9UNmDTHZA,NK-JKx4vPjsrUpuhkWJoThdeJ,Ownership,owner,asset
rel-0000753,NK-ZoLZAD84uWAfvqEAq2jwn9,NK-VyQ5JQXmZ5cr8FFrCg2irP,Ownership,owner,asset
rel-0000754,NK-AayAT4dtrv94sj4wLffQsy,NK-hvacH58PZhwzDeDtwu4Nix,Ownership,owner,asset
rel-0000755,Q124689632,NK-hyqvuuxKEk2pcyzL47bykb,Ownership,owner,asset
rel-0000756,NK-8LFrJocopTzuY9e5gQPw3M,NK-eRv5JbbL8z2wV3m6Mp8CGL,Ownership,owner,asset
